STA_CODE,DATE_TIME,RAIN_VAL
agb,2022/07/30 13,0.5
bak,2022/07/30 13,0.0
ban,2022/07/30 13,1.0
bar,2022/07/30 13,0.1
bay,2022/07/30 13,0.0
blc,2022/07/30 13,0.0
bol,2022/07/30 13,0.0
bto,2022/07/30 13,0.0
car,2022/07/30 13,0.0
cud,2022/07/30 13,0.0
dad,2022/07/30 13,0.0
gaa,2022/07/30 13,0.9
gam,2022/07/30 13,0.0
hin,2022/07/30 13,0.0
hum,2022/07/30 13,0.0
ime,2022/07/30 13,0.0
imu,2022/07/30 13,0.0
ina,2022/07/30 13,0.0
jor,2022/07/30 13,0.0
lab,2022/07/30 13,0.0
lay,2022/07/30 13,0.0
lip,2022/07/30 13,0.0
loo,2022/07/30 13,0.0
lpa,2022/07/30 13,0.0
lte,2022/07/30 13,0.0
lun,2022/07/30 13,0.0
mag,2022/07/30 13,0.0
mam,2022/07/30 13,0.0
mar,2022/07/30 13,0.0
mca,2022/07/30 13,0.0
mng,2022/07/30 13,0.0
msl,2022/07/30 13,0.0
msu,2022/07/30 13,0.0
nag,2022/07/30 13,0.0
nur,2022/07/30 13,0.0
osl,2022/07/30 13,0.8
par,2022/07/30 13,0.0
pep,2022/07/30 13,0.0
pin,2022/07/30 13,0.3
pla,2022/07/30 13,0.0
png,2022/07/30 13,0.3
pug,2022/07/30 13,0.0
sag,2022/07/30 13,0.0
sib,2022/07/30 13,0.0
sin,2022/07/30 13,0.0
sum,2022/07/30 13,0.0
tal,2022/07/30 13,4.4
tga,2022/07/30 13,0.0
tue,2022/07/30 13,0.0
umi,2022/07/30 13,0.0
phi,2022/07/30 13,0.0
knr,2022/07/30 13,0.0
bcn,2022/07/30 13,0.0
